Num,Category,Title,Author,Year,Tom,Quantity,Publisher,Notes
220,Укрліт,Вибрані твори. Розстріляне Відродження,Олекса Слісаренко,2011,1,,Смолоскип,
221,Поезія,Вибрані твори. Розстріляне Відродження,Володимир Свідзінський,2011,1,,Смолоскип,
222,Укрліт,Річка Геракліта,Ліна Костенко,2011,1,,Либідь,диск з записом голоса поетеси
224,Художня,Українська драматургія. Кращі класичні твори,збірка,2008,1,,"ТОВ ВКФ ""БАО""",
225,Історія,Європа. Історія,Норман Дейвіс (пер. П. Таращук),2001,2,,ОСНОВИ,
226,Античність,Історія європейської цивілізації. Греція,за ред. Умберто Еко,2016,1,,Фоліо,
227,Історія,Індія і Пакистан. Інтелектуальна історія розлучин,Олена Борділовська,2018,1,,Інститут сходознавства іи. А. Б. Кримського,
228,Історія,Canada. A modern history ,J. Bartlet Brebner,,1,,The university of Michigan Press,
229,Історія,Canada and the First World War,Edited by David Mackenzie,2014,1,,University of Toronto Press,
230,Історія,"Історія Фінляндії. Лінії, структури, переломні моменти",Генрик Мейнандер,2009,1,,ЛА Піраміда,
231,Історія,Українці в Канаді: суспільно-політичне становище в конексті іміграційної політики 1918-1939 рр.,Олеся Дзира,2020,1,,Академія Наук,
232,Історія,"Зброя, мікроби і харч: витоки нерівностей між народами",Джаред Даймонд,2012,1,,Ніка-центр,
233,Історія,Вступ до історії,Наталя Яковенко,2007,1,,Критика,
234,Історія,Литовська метрика 1547-1549,Дмитро Ващук,2019,1,,НАН України,
235,Історія,Islamic History. A very short introduction,Adam J. Silverstein,2010,1,,Oxford University Press,
236,Історія,Літопис самовидців. Дев'ять місяців українського спротиву,Оксана Забужко,2014,1,,Комора,
237,Художня,На західному фронті без змін. Повернення. Товариші,Ерих Марія Ремарк,2014,1,,КСД,
238,Історія,Війна з державою чи за державою? Селянський повстанський рух в Україні 1917-1921 років,багато авторів,2017,1,,КСД,
239,Історія,Військово-морська міць та її межі,Максим Паламарчук,2019,1,,Наш формат,
240,Історія,"Конфлікти, що змінили світ",багато авторів,2020,1,,Фоліо,
241,Історія,Історія давньої зброї,багато авторів,2020,1,,НАН України,
242,Історія,"Радянський рух опору в Україні. Організація, легітимація, меморіалізація (1941-1953 рр.)",Іван Капась,2016,1,,К.І.С.,
243,Історія,Мистецтво війни,Сунь-Дзи,2016,1,,Видавництво Старого Лева,
244,Історія,Козацька держава як ідея в системі суспільно-політичного мислення XVI-XVIII ст.,Валерій Шевчук,2019,2,,Кліо,
245,Історія,Стежками Новицького. Історичний путівник по Хортиці,Дмитро Кобалія,2018,1,,Дике поле,
246,Історія,Історія запорозьких козаків 1,Д. І. Яворницький,1990,1,,Наукова думка,
247,Історія,Історія запорозьких козаків 3,Д. І. Яворницький,1991,3,,Наукова думка,
248,Історія,Міжнаціональні відносини в Україні у XX-на початку XXI ст.,упоряд. Михайло Романюк,2020,1,,НАН України,
249,Історія,Нарис історії середньовічної та ранньомодерної України,Наталя Яковенко,2009,1,,Критика,
250,Історія,Історія Украни від діда Свирида 2,"блогер Свирид Опанасович ""Дід Свирид""",2017,2,,"ТОВ ""Новий друк""",
251,Історія,Україна. Історія,Орест Субтельний,1991,2,,Либідь,
252,Історія,Історія Украни від діда Свирида,"блогер Свирид Опанасович ""Дід Свирид""",2018,1,,"ТОВ ""Новий друк""",
253,Історія,Дух і Літера №1-2,багато авторів,1997,1,2,"НУ ""КМА""",
254,Історія,Простір можливостей. Україна в добу заліза та пари,Тетяна Водотика,2018,1,,Кліо,
255,Історія,Майдан. Пряма мова,упоряд. Олена Чебанюк та Оксана Ковальова,2019,1,,Київ,
256,Історія,"Щоденник. 1948-1949, 1967-1968, 1971-1976",Осип Зінкевич,2016,1,,Смолоскип,
257,Історія,Смерть. Сибирські новели,Борис Антоненко-Давидович,2009,1,,Фоліо,
258,Історія,Мазепа. Трилогія Мотря,Борис Лепкий,1991,1,,Каменяр,
259,Історія,Болехівські бувальщини. Діалектні тексти,Юрій Гнатишак,2021,1,,НАН України,
260,Історія,Повість минулих літ,Нестор Літописець,1982,1,,Веселка,
261,Історія,Історія України-Русі з малюнками,Микола Аркас,1990,1,,Жовтень,
262,Історія,Слово о полку ігоревім,давноруський текст,1986,1,,Радянська школа,
263,Історія,Літопис руський,давноруський текст,1989,1,,Дніпро,
264,Історія,Літопис,Самійло Величко,1991,2,,Дніпро,
265,Античність,"Найдавніша література Шумеру, Вавилону, Палестини",народні тексти,2016,1,,Фоліо,
266,Політика,Консерватизм,упоряд. Олег Проценко та Василь Лісовий,2008,1,,Смолоскип,
267,Політика,Гуманізм і демократична критика,Едвард Саїд,2014,1,,Медуза,
268,Політика,Глобальна соціальна політика,Боб Дікон та Мішель Халс і Пол Стабс,1999,1,,ОСНОВИ,
269,Політика,Більдунг. Нордичний секрет краси та свободи,Лене Рейчел Андерсен і Томас Бйоркман,2021,1,,Наш формат,
270,Політика,Сингапурська історія: із третього світу в перший,мемуари Лі Куан Ю,2011,1,,"ТОВ ""АА Плюс""",
271,Політика,"Чому нації занепадають. Походження влади, багатства та бідності","Джеймс Робінсон, Дарон Аджемоглу",2016,1,,"ТОВ ""НФ""",
272,Політика,Друга молодість демократії. Майбутнє демократичного імпульсу,Жан-Франсуа Ревель,2001,1,,Сфера,
273,Політика,Федераліст,"А. Гамільтон, Д. Медісон, Д. Джей",2002,1,,Сфера,
274,Політика,Архетипи соціального життя і політика,"Олена Донченко, Юрій Романенко",2001,1,,Либідь,
275,Політика,Між нами,Еманюель Левінас,1999,1,,ДУХ І ЛІТЕРА,
276,Політика,Книгозбірня й архів Дмитра Донцова,Галина Сварник,2019,1,,НАН України,
277,Політика,Націоналізм,Д. Донцов,,3,,,
278,Політика,Траснформація соціал-демократії,Томас Майєр,2004,1,,Основні цінності,
279,Художка іноземною,The sense of an Ending,Julian Barnes,2012,1,,Vintage Books,Підклеїти
